Ref,Val,Package,PosX,PosY,Rot,Side
"L7,""HCM0703-3R3-R"",""L_KOHERelec_MDA7030"",140.808500,-121.791500,0.000000,bottom"
"R33,""0.025Ω"",""R_1206_3216Metric"",122.468500,-135.604000,90.000000,bottom"
"R36,""0.025Ω"",""R_1206_3216Metric"",159.708500,-142.641500,90.000000,bottom"
"R40,""0.025Ω"",""R_1206_3216Metric"",103.708500,-135.604000,90.000000,bottom"
"R46,""0.025Ω"",""R_1206_3216Metric"",141.078500,-142.614000,90.000000,bottom"
"R67,""R_LED"",""R_0805_2012Metric"",185.108500,-128.779000,-90.000000,bottom"
"R68,""R_LED"",""R_0805_2012Metric"",196.858500,-115.591500,-90.000000,bottom"
"R76,""R_LED"",""R_0805_2012Metric"",194.758500,-115.591500,-90.000000,bottom"
"R77,""R_LED"",""R_0805_2012Metric"",192.708500,-115.591500,-90.000000,bottom"
"R78,""R_LED"",""R_0805_2012Metric"",190.658500,-115.591500,-90.000000,bottom"
"R79,""R_LED"",""R_0805_2012Metric"",169.821000,-144.391500,-0.000000,bottom"
"R80,""R_LED"",""R_0805_2012Metric"",183.108500,-128.791500,-90.000000,bottom"
"R81,""R_LED"",""R_0805_2012Metric"",183.058500,-118.929000,90.000000,bottom"
"R82,""R_LED"",""R_0805_2012Metric"",205.708500,-144.829000,90.000000,bottom"
"U15,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",126.058500,-131.491500,-90.000000,bottom"
"U17,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",201.158500,-101.641500,90.000000,bottom"
"U18,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",163.308500,-131.391500,-90.000000,bottom"
"U21,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",99.700000,-109.000000,-0.000000,bottom"
"U22,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",100.308500,-131.491500,-90.000000,bottom"
"U23,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",173.608500,-101.691500,90.000000,bottom"
"U24,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",192.008500,-101.641500,90.000000,bottom"
"U28,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",137.608500,-131.441500,-90.000000,bottom"
"U30,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",182.808500,-101.641500,90.000000,bottom"
"U53,""MCP23S17_SO"",""SSOP-28_3.9x9.9mm_P0.635mm"",172.981000,-128.091500,-90.000000,bottom"
"U67,""PCA9685PW"",""TSSOP-28_4.4x9.7mm_P0.65mm"",172.983500,-119.079000,90.000000,bottom"
